patrimonio;ip;tipo;local;idEscolaComp
129858;192.168.104.108;PC;LAB;160
129845;192.168.104.109;PC;LAB;160
129843;192.168.104.110;PC;LAB;160
129855;192.168.104.111;PC;LAB;160
129851;192.168.104.112;PC;LAB;160
129854;192.168.104.113;PC;LAB;160
129853;192.168.104.114;PC;LAB;160
129849;192.168.104.116;PC;LAB;160
129848;192.168.104.117;PC;LAB;160
129857;192.168.104.118;PC;LAB;160
129846;192.168.104.119;PC;LAB;160
129852;192.168.104.200;PC;LAB;160
125069;192.168.104.200;PC;SALA DE AULA;160
125058;192.168.104.201;PC;SALA DE AULA;160
125065;192.168.104.202;PC;SALA DE AULA;160
125048;192.168.104.203;PC;SALA DE AULA;160
125063;192.168.104.204;PC;SALA DE AULA;160
125728;192.168.104.206;PC;SALA DE AULA;160
125729;192.168.104.208;PC;SALA DE AULA;160
127118;192.168.104.21;MINIPC;COORDENA?ÄO;160
127123;192.168.104.22;MINIPC;SECRETARIA;160
125735;192.168.104.225;PC;SALA DE AULA;160
127122;192.168.104.23;MINIPC;SECRETARIA;160
127121;192.168.104.24;MINIPC;DIRE?ÄO;160
127120;192.168.104.25;MINIPC;DIRE?ÄO;160
127119;192.168.104.26;MINIPC;RECURSOS;160
134132;192.168.104.27;PC;SECRETARIA;160
125731;ip;PC;SALA DE AULA;160
134148;192.168.171.26;PC;PROFESSORES;APARECIDA MARIA PIRES DE MENESES
127220; 192.168.171.23;MINIPC;SECRETARIA;
127219;192.168.171.21;MINIPC;SECRETARIA;
127218; 192.168.171.22;MINIPC;SECRETARIA;
127217;192.168.171.25;MINIPC;COORDENA?ÄO;
127216; 192.168.171.24;MINIPC;DIRE?ÄO;
134098;192.168.54.100;PC;PROFESSORES;162
129945;192.168.54.31;PC;DIRE?ÄO;162
129820;192.168.54.29;PC;DIRE?ÄO;162
129819;192.168.54.21;PC;COORDENA?ÄO;162
129817;192.168.54.28;PC;DIRE?ÄO;162
129816;192.168.54.27;PC;COORDENA?ÄO;162
127144;;MINIPC;LAB;162
127143;192.168.54.35;MINIPC;LAB;162
127142;192.168.54.166;MINIPC;LAB;162
127141;192.168.54.23;MINIPC;LAB;162
127140;192.168.54.22;MINIPC;LAB;162
127139;192.168.54.24;MINIPC;LAB;162
127138;192.168.54.169;MINIPC;LAB;162
127137;192.168.54.65;MINIPC;LAB;162
